"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.684911270E1,6.532280275E1,2.537185938E1,1.638279714E1,1.399999976E0,2.681000061E2,1.020408154E0,2.000000000E0
8.784911279E1,6.532280308E1,2.537182460E1,1.738278533E1,1.459999919E0,2.702000122E2,1.020408154E0,2.000000000E0
8.884911302E1,6.532280342E1,2.537178813E1,1.638277296E1,1.529999971E0,2.718999939E2,1.020408154E0,1.000000000E0
8.984911317E1,6.532280350E1,2.537175050E1,1.638276031E1,1.579999924E0,2.782999878E2,1.020408154E0,1.000000000E0
9.084911345E1,6.532280371E1,2.537171178E1,1.638274724E1,1.629999995E0,2.797999878E2,1.020408154E0,1.000000000E0
9.184911359E1,6.532280409E1,2.537167230E1,1.638273384E1,1.659999967E0,2.767999878E2,1.020408154E0,1.000000000E0
9.284911379E1,6.532280463E1,2.537163299E1,1.638272042E1,1.659999967E0,2.762999878E2,1.020408154E0,1.000000000E0
9.384911408E1,6.532280526E1,2.537159443E1,1.638270721E1,1.639999986E0,2.720000000E2,1.020408154E0,1.000000000E0
9.484911420E1,6.532280576E1,2.537155696E1,1.638269442E1,1.610000014E0,2.693999939E2,1.020408154E0,1.000000000E0
9.584911448E1,6.532280610E1,2.537152159E1,1.638268242E1,1.519999981E0,2.688999939E2,1.020408154E0,2.000000000E0
9.684911472E1,6.532280631E1,2.537148840E1,1.638267120E1,1.419999957E0,2.648999939E2,1.020408154E0,1.000000000E0
9.784911500E1,6.532280635E1,2.537145755E1,1.638266085E1,1.309999943E0,2.681000061E2,1.020408154E0,1.000000000E0
9.884911527E1,6.532280635E1,2.537142863E1,1.638265116E1,1.209999919E0,2.730000000E2,1.020408154E0,2.000000000E0
9.984911556E1,6.532280643E1,2.537140148E1,1.638264202E1,1.129999995E0,2.735000000E2,1.020408154E0,1.000000000E0
1.008491158E2,6.532280656E1,2.537137566E1,1.638263331E1,1.069999933E0,2.745000000E2,1.020408154E0,1.000000000E0
1.018491161E2,6.532280685E1,2.537135077E1,1.638262484E1,1.019999981E0,2.687999878E2,1.020408154E0,2.000000000E0
1.028491164E2,6.532280706E1,2.537132696E1,1.538261676E1,9.599999785E-1,2.748999939E2,1.020408154E0,2.000000000E0
1.038491167E2,6.532280736E1,2.537130366E1,1.538260882E1,9.399999976E-1,2.745000000E2,1.020408154E0,2.000000000E0
1.048491170E2,6.532280769E1,2.537127944E1,1.538260055E1,9.599999785E-1,2.668999939E2,1.020408154E0,2.000000000E0
1.058491174E2,6.532280794E1,2.537125429E1,1.538259201E1,9.799999595E-1,2.616000061E2,1.020408154E0,2.000000000E0
1.068491177E2,6.532280794E1,2.537122814E1,1.538258325E1,1.009999990E0,2.612000122E2,1.020408154E0,2.000000000E0
